Title,Details,Category,Rating,Votes,Director
The Silence of Swastika,202156m,Documentary,9.4,10K,Anuj Bhardwaj
Pabėgimas iš Šoušenko,1994R2h 22m,Drama,9.3,2.8M,Frank Darabont
Starfish,20232h 1m,Drama,9.3,15K,Akhilesh Jaiswal
Krikštatėvis,1972R2h 55m,Crime,9.2,2M,Francis Ford Coppola
Hababam Sinifi,19751h 27m,Comedy,9.2,42K,Ertem Egilmez
Ramayana: The Legend of Prince Rama,1993PG2h 15m,Animation,9.2,13K,Ram Mohan
CM101MMXI Fundamentals,20132h 19m,Documentary,9.1,47K,Murat Dündar
Tamsos riteris,2008PG-132h 32m,Action,9.0,2.8M,Christopher Nolan
Šindlerio sąrašas,1993R3h 15m,Biography,9.0,1.4M,Steven Spielberg
Žiedų valdovas. Karaliaus sugrįžimas,2003PG-133h 21m,Action,9.0,1.9M,Peter Jackson
12 įtūžusių vyrų,1957Approved1h 36m,Crime,9.0,844K,Sidney Lumet
Krikštatėvis II,1974R3h 22m,Crime,9.0,1.3M,Francis Ford Coppola
Aynabaji,20162h 27m,Crime,9.0,29K,Amitabh Reza Chowdhury
Bulvarinis skaitalas,1994N-162h 34m,Crime,8.9,2.2M,Quentin Tarantino
Kimetsu no Yaiba: Tsuzumi Yashiki Hen,20211h 27m,Animation,8.9,24K,Haruo Sotozaki
O.J.: pagaminta Amerikoje,2016TV-MA7h 47m,Documentary,8.9,21K,Ezra Edelman
David Attenborough: A Life on Our Planet,2020PG1h 23m,Documentary,8.9,34K,Alastair Fothergill
Al-risâlah,1976PG3h 27m,Action,8.9,10K,Moustapha Akkad
DAMaN,20222h 1m,Adventure,8.9,14K,Lenka Debiprasad
Tosun Pasa,19761h 30m,Comedy,8.9,24K,Kartal Tibet
Hababam Sinifi Sinifta Kaldi,19751h 35m,Comedy,8.9,24K,Ertem Egilmez
Žiedų valdovas. Žiedo brolija,2001PG-132h 58m,Action,8.8,2M,Peter Jackson
Kovos klubas,1999N-162h 19m,Drama,8.8,2.3M,David Fincher
Pradžia,2010PG-132h 28m,Action,8.8,2.5M,Christopher Nolan
Forestas Gampas,1994PG-132h 22m,Drama,8.8,2.2M,Robert Zemeckis
Žiedų valdovas. Dvi tvirtovės,2002N-72h 59m,Action,8.8,1.7M,Peter Jackson
"Geras, blogas ir bjaurus",1966Approved2h 41m,Adventure,8.8,797K,Sergio Leone
777 Charlie,20222h 44m,Adventure,8.8,38K,Kiranraj K
Kimetsu no Yaiba: Natagumo Yama Hen,20202h 18m,Animation,8.8,15K,Haruo Sotozaki
Maratonci trce pocasni krug,19821h 32m,Comedy,8.8,17K,Slobodan Sijan
Manichitrathazhu,1993Not Rated2h 49m,Comedy,8.8,12K,Fazil
#Home,20212h 38m,Drama,8.8,15K,Rojin Thomas
Balkanski spijun,19841h 35m,Comedy,8.8,12K,Dusan Kovacevic
Süt Kardesler,19761h 20m,Comedy,8.8,21K,Ertem Egilmez
Žmogus-voras: aplink multivisatą,2023PG2h 20m,Animation,8.7,310K,Joaquim Dos Santos
Tarp žvaigždžių,2014N-132h 49m,Adventure,8.7,2M,Christopher Nolan
Geri vyrukai,1990N-162h 25m,Biography,8.7,1.2M,Martin Scorsese
Matrica,1999R2h 16m,Action,8.7,2M,Lana Wachowski
Skrydis virš gegutės lizdo,1975R2h 13m,Drama,8.7,1.1M,Milos Forman
Žvaigždžių karai. Imperija kontratakuoja,1980PG2h 4m,Action,8.7,1.4M,Irvin Kershner
Jai Bhim,2021TV-MA2h 44m,Crime,8.7,213K,T.J. Gnanavel
Stop Making Sense,1984PG1h 28m,Documentary,8.7,19K,Jonathan Demme
Kill Bill: The Whole Bloody Affair,2006Not Rated4h 7m,Action,8.7,16K,Quentin Tarantino
Rocketry: The Nambi Effect,2022Not Rated2h 37m,Biography,8.7,57K,Madhavan
The Legend of Maula Jatt,20222h 33m,Action,8.7,10K,Bilal Lashari
Shoah,1985Not Rated9h 26m,Documentary,8.7,10K,Claude Lanzmann
Soorarai Pottru,2020TV-MA2h 33m,Action,8.7,122K,Sudha Kongara
Toma,20212h 20m,Biography,8.7,12K,Dragan Bjelogrlic
Ko to tamo peva,19801h 26m,Adventure,8.7,16K,Slobodan Sijan
Peranbu,2018Not Rated2h 27m,Drama,8.7,16K,Ram
Pariyerum Perumal,2018Not Rated2h 34m,Drama,8.7,18K,Mari Selvaraj
Kibar Feyzo,19781h 23m,Comedy,8.7,17K,Atif Yilmaz
Saban Oglu Saban,19771h 30m,Comedy,8.7,19K,Ertem Egilmez
Zügürt Aga,19851h 41m,Comedy,8.7,16K,Nesli Çölgeçen
Neseli Günler,19781h 35m,Comedy,8.7,12K,Orhan Aksoy
Hababam Sinifi Uyaniyor,19761h 34m,Adventure,8.7,21K,Ertem Egilmez
Tas nuostabus gyvenimas,1946PG2h 10m,Drama,8.6,485K,Frank Capra
Septyni,1995R2h 7m,Crime,8.6,1.8M,David Fincher
Avinėlių tylejimas,1991N-161h 58m,Crime,8.6,1.5M,Jonathan Demme
Stebuklingi Šihiros nuotykiai dvasių pasaulyje,2001V2h 5m,Animation,8.6,823K,Hayao Miyazaki
Gelbstint eilinį Rajeną,1998R2h 49m,Drama,8.6,1.5M,Steven Spielberg
Žalioji mylia,1999R3h 9m,Crime,8.6,1.4M,Frank Darabont
Žvaigždžių karai,1977V2h 1m,Action,8.6,1.4M,George Lucas
Dievo miestas,2002R2h 10m,Crime,8.6,788K,Fernando Meirelles
Terminatorius 2: paskutinio teismo diena,1991R2h 17m,Action,8.6,1.2M,James Cameron
Gyvenimas yra gražus,1997PG-131h 56m,Comedy,8.6,730K,Roberto Benigni
Septyni samurajai,1954Not Rated3h 27m,Action,8.6,361K,Akira Kurosawa
Harakiri,1962Not Rated2h 13m,Action,8.6,66K,Masaki Kobayashi
Sita Ramam,20222h 43m,Action,8.6,65K,Hanu Raghavapudi
The Kashmir Files,2022Not Rated2h 50m,Drama,8.6,572K,Vivek Agnihotri
Earthlings,20051h 35m,Documentary,8.6,20K,Shaun Monson
Lepa sela lepo gore,19961h 55m,Drama,8.6,17K,Srdjan Dragojevic
O Auto da Compadecida,20001h 44m,Comedy,8.6,16K,Guel Arraes
Nayakan,1987Not Rated2h 25m,Crime,8.6,22K,Mani Ratnam
Anbe Sivam,2003Not Rated2h 40m,Adventure,8.6,25K,Sundar C.
Canim Kardesim,19731h 25m,Drama,8.6,10K,Ertem Egilmez
Hababam Sinifi Tatilde,19771h 37m,Adventure,8.6,19K,Ertem Egilmez
